Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298048,1,OK,0.5134698,0.3247169,0.794297,0,-66.087,-21.942,-119.234,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298056,1,OK,0.5116578,0.321221,0.7968836,0,-66.164,-21.58,-119.565,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298064,1,OK,0.5099506,0.3193581,0.7987245,0,-66.218,-21.269,-119.735,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298072,1,OK,0.5086174,0.3172932,0.8003958,0,-66.087,-20.958,-119.962,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298080,1,OK,0.5066914,0.3139962,0.8029135,0,-66.029,-20.564,-120.519,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298088,1,OK,0.5033832,0.3102304,0.8064505,0,-66.071,-20.039,-121.017,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298096,1,OK,0.4985687,0.3056063,0.811193,0,-66.228,-19.488,-121.237,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298104,1,OK,0.4934945,0.2992644,0.8166419,0,-66.457,-18.756,-121.146,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298112,1,OK,0.4918682,0.2921718,0.8201837,0,-66.378,-18.156,-121.69,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298120,1,OK,0.4900795,0.2844962,0.8239441,0,-66.333,-17.578,-121.7,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298128,1,OK,0.4881084,0.2750929,0.8282959,0,-66.177,-16.786,-122.479,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298136,1,OK,0.4856898,0.2660749,0.8326521,0,-66.092,-16.058,-123.037,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298144,1,OK,0.4838558,0.2601961,0.8355726,0,-66.059,-15.525,-123.323,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298152,1,OK,0.4829697,0.2551649,0.8376342,0,-66.028,-15,-123.675,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298160,1,OK,0.481272,0.2454085,0.8415176,0,-66.019,-14.386,-124.08,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298168,1,OK,0.4795085,0.2366876,0.8450152,0,-66.306,-13.757,-124.176,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298176,1,OK,0.4786339,0.2270837,0.8481407,0,-66.358,-13.116,-124.42,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298184,1,OK,0.4772144,0.2174286,0.8514642,0,-66.427,-12.386,-124.418,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298192,1,OK,0.4789164,0.2096387,0.8524616,0,-66.107,-11.94,-124.918,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298200,1,OK,0.4785348,0.2009208,0.8547721,0,-66.004,-11.387,-125.103,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298208,1,OK,0.4779015,0.1930059,0.8569474,0,-65.991,-10.779,-125.341,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298216,1,OK,0.4772447,0.1847721,0.8591256,0,-66.033,-10.101,-125.431,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298224,1,OK,0.4762662,0.1759865,0.8615099,0,-66.115,-9.456,-125.231,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298232,1,OK,0.4765824,0.1692774,0.8626786,0,-66.038,-8.811,-125.295,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298240,1,OK,0.4763876,0.1620878,0.8641657,0,-66.067,-8.178,-125.215,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298248,1,OK,0.4765493,0.15087,0.8661056,0,-65.995,-7.325,-125.264,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298256,1,OK,0.4762856,0.1364514,0.8686386,0,-65.973,-6.362,-125.283,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298264,1,OK,0.4768235,0.1250454,0.8700592,0,-65.87,-5.545,-125.341,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298272,1,OK,0.4766831,0.1145902,0.8715746,0,-65.945,-4.788,-125.314,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298280,1,OK,0.4761724,0.1060656,0.8729318,0,-65.967,-4.136,-125.237,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298288,1,OK,0.4751979,0.0996618,0.8742165,0,-65.906,-3.651,-125.189,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298296,1,OK,0.4736915,0.0913077,0.8759448,0,-65.856,-3.07,-125.163,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298304,1,OK,0.4727913,0.081671,0.8773815,0,-65.921,-2.416,-125.054,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298312,1,OK,0.4737132,0.0735907,0.8775991,0,-65.862,-1.913,-125.103,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298320,1,OK,0.475601,0.0676381,0.8770569,0,-65.799,-1.462,-125.145,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298328,1,OK,0.477097,0.058943,0.8768718,0,-65.776,-0.884,-125.171,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298336,1,OK,0.478495,0.0498537,0.8766739,0,-65.804,-0.305,-125.194,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,298344,1,OK,0.4794847,0.0383889,0.8767102,0,-65.834,0.35,-125.103,0,0
