Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344144,1,OK,0.9979977,-0.0554845,-0.0303662,0,16.933,-17.036,-69.989,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344152,1,OK,0.9979925,-0.0554933,-0.0305184,0,16.937,-17.049,-69.986,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344160,1,OK,0.9980065,-0.0553956,-0.0302366,0,16.934,-17.046,-69.983,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344168,1,OK,0.9981003,-0.0556548,-0.0264263,0,16.872,-17.027,-70.007,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344176,1,OK,0.9980974,-0.0561307,-0.0255143,0,16.893,-17.059,-70.039,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344184,1,OK,0.9981578,-0.0564202,-0.0223112,0,16.82,-17.059,-70.057,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344192,1,OK,0.9982131,-0.057239,-0.0171551,0,16.787,-16.986,-70.081,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344200,1,OK,0.9979625,-0.0634461,-0.0067463,0,16.556,-17.212,-70.046,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344208,1,OK,0.9979129,-0.0644947,0.0032156,0,16.397,-17.19,-70.051,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344216,1,OK,0.9978246,-0.0649555,0.0112661,0,16.267,-17.285,-70.043,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344224,1,OK,0.9980467,-0.0605926,0.0152122,0,16.204,-17.148,-70.075,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344232,1,OK,0.9982676,-0.0567319,0.0155953,0,16.249,-17.067,-70.228,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344240,1,OK,0.9983399,-0.0560577,0.0132289,0,15.374,-17.189,-70.136,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344248,1,OK,0.9983526,-0.0573478,0.0018189,0,14.562,-17.495,-70.563,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344256,1,OK,0.9986401,-0.0521119,-0.0015176,0,12.048,-17.531,-70.336,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344264,1,OK,0.9986039,-0.0523905,-0.0067386,0,9.419,-18.093,-70.208,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344272,1,OK,0.9984772,-0.0544053,-0.0091263,0,7.526,-18.551,-70.343,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344280,1,OK,0.9986355,-0.0516481,-0.0077164,0,5.537,-18.313,-70.396,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344288,1,OK,0.9986923,-0.0503034,-0.0091242,0,3.453,-18.035,-70.331,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344296,1,OK,0.9987188,-0.049408,-0.010939,0,1.773,-17.672,-70.381,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344304,1,OK,0.9986258,-0.0504041,-0.014353,0,0.48,-17.15,-70.524,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344312,1,OK,0.9987299,-0.0480516,-0.0151549,0,-0.913,-15.673,-70.389,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344320,1,OK,0.9987091,-0.0474828,-0.0180423,0,-2.138,-14.18,-70.423,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344328,1,OK,0.9986855,-0.0473479,-0.0196309,0,-3.301,-12.608,-70.566,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344336,1,OK,0.9987229,-0.0463837,-0.0200278,0,-4.435,-10.932,-70.614,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344344,1,OK,0.9986285,-0.0472811,-0.0224882,0,-5.556,-9.276,-70.697,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344352,1,OK,0.9985978,-0.0474413,-0.0234878,0,-6.863,-7.322,-70.77,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344360,1,OK,0.998545,-0.0477589,-0.025039,0,-8.099,-5.264,-70.861,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344368,1,OK,0.99847,-0.0490765,-0.0254803,0,-9.118,-3.141,-70.774,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344376,1,OK,0.9984684,-0.0490998,-0.0254978,0,-9.929,-0.896,-70.751,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344384,1,OK,0.9984036,-0.0496904,-0.0268537,0,-10.557,1.372,-70.9,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344392,1,OK,0.9983839,-0.0497123,-0.0275369,0,-11.064,3.776,-70.847,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344400,1,OK,0.9982641,-0.0511915,-0.0291224,0,-11.296,6.199,-70.873,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344408,1,OK,0.9981811,-0.0520354,-0.0304422,0,-11.302,8.688,-70.848,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344416,1,OK,0.9980603,-0.0540831,-0.030833,0,-11.213,11.176,-70.76,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344424,1,OK,0.9979266,-0.0566217,-0.0306024,0,-11.073,13.584,-70.595,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344432,1,OK,0.9978925,-0.056995,-0.0310182,0,-10.945,16.146,-70.576,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344440,1,OK,0.9977718,-0.0594042,-0.0303748,0,-10.714,18.418,-70.391,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344448,1,OK,0.9975563,-0.0619007,-0.0324009,0,-10.252,20.692,-70.519,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344456,1,OK,0.9974877,-0.0632701,-0.0318627,0,-9.557,23.109,-70.196,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344464,1,OK,0.9973617,-0.0648098,-0.0327016,0,-8.824,25.245,-70.102,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344472,1,OK,0.9972199,-0.0664781,-0.0336632,0,-7.999,27.043,-70.07,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344480,1,OK,0.9971416,-0.0667682,-0.0353654,0,-6.856,28.95,-70.003,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344488,1,OK,0.9970113,-0.0687859,-0.035172,0,-5.588,30.607,-69.962,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344496,1,OK,0.9969645,-0.0697604,-0.0345721,0,-4.073,32.42,-69.828,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344504,1,OK,0.9967997,-0.0707253,-0.0372588,0,-2.694,33.947,-69.809,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344512,1,OK,0.9966949,-0.0727414,-0.0361646,0,-1.501,35.207,-69.758,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344520,1,OK,0.9964853,-0.0741625,-0.0389471,0,0.113,36.218,-69.889,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344528,1,OK,0.9965061,-0.0762473,-0.0340881,0,1.854,37.269,-69.615,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344536,1,OK,0.9964757,-0.076041,-0.0354124,0,4.101,38.412,-69.508,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344544,1,OK,0.9964319,-0.0760787,-0.0365437,0,6.184,39.334,-69.318,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344552,1,OK,0.9961565,-0.079912,-0.0358652,0,8.396,39.835,-69.464,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344560,1,OK,0.9961936,-0.07798,-0.0389554,0,10.867,40.456,-69.429,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344568,1,OK,0.9962529,-0.0756486,-0.0419221,0,12.915,40.826,-69.276,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344576,1,OK,0.996365,-0.0741979,-0.0418513,0,14.844,41.034,-69.14,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344584,1,OK,0.9963544,-0.073768,-0.0428517,0,16.915,41.145,-69.125,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344592,1,OK,0.9963847,-0.073562,-0.0424982,0,18.645,40.951,-69.022,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344600,1,OK,0.9964564,-0.0724987,-0.042645,0,20.091,40.527,-68.965,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344608,1,OK,0.9964777,-0.0716651,-0.0435474,0,21.448,39.902,-68.869,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344616,1,OK,0.9963406,-0.0709183,-0.0477079,0,22.598,39.315,-68.89,0,0
