Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470712,1,OK,0.6005473,-0.7747062,-0.1979223,0,-3.385,-45.303,-87.202,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470720,1,OK,0.6027151,-0.7736779,-0.1953382,0,-3.347,-45.38,-86.377,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470728,1,OK,0.6062682,-0.7724458,-0.18912,0,-3.574,-45.418,-85.846,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470736,1,OK,0.6099237,-0.7710195,-0.1830901,0,-3.843,-45.4,-85.212,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470744,1,OK,0.6105203,-0.7711171,-0.1806749,0,-4.017,-45.413,-84.658,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470752,1,OK,0.6093229,-0.7717263,-0.1821102,0,-4.288,-45.423,-84.501,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470760,1,OK,0.6103467,-0.7706344,-0.1833019,0,-4.736,-45.453,-83.978,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470768,1,OK,0.6123507,-0.7688686,-0.1840317,0,-5.226,-45.539,-83.33,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470776,1,OK,0.6147654,-0.7664382,-0.1861073,0,-5.776,-45.571,-82.944,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470784,1,OK,0.6187066,-0.7638511,-0.183667,0,-6.085,-45.62,-81.555,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470792,1,OK,0.6223142,-0.7618981,-0.1795447,0,-6.619,-45.605,-80.504,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470800,1,OK,0.6234877,-0.761012,-0.1792315,0,-7.197,-45.638,-79.94,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470808,1,OK,0.6227726,-0.760692,-0.1830357,0,-7.599,-45.715,-79.758,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470816,1,OK,0.6219934,-0.7615781,-0.1819975,0,-7.898,-45.653,-79.112,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470824,1,OK,0.6188101,-0.7631701,-0.1861327,0,-7.937,-45.669,-78.921,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470832,1,OK,0.614188,-0.7653985,-0.1921932,0,-7.86,-45.644,-78.596,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470840,1,OK,0.6103741,-0.7664952,-0.1998212,0,-7.806,-45.606,-78.507,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470848,1,OK,0.6074343,-0.7662997,-0.2093045,0,-7.622,-45.668,-78.424,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470856,1,OK,0.605822,-0.7676019,-0.2092058,0,-6.911,-45.482,-77.776,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470864,1,OK,0.6039463,-0.766786,-0.2174582,0,-6.338,-45.578,-77.833,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470872,1,OK,0.6026315,-0.76796,-0.2169625,0,-5.881,-45.452,-77.693,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470880,1,OK,0.6007325,-0.7691189,-0.2181204,0,-5.297,-45.558,-77.803,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470888,1,OK,0.6000528,-0.7701979,-0.2161755,0,-4.63,-45.566,-77.745,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470896,1,OK,0.6008058,-0.7704129,-0.2132988,0,-3.775,-45.621,-77.806,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470904,1,OK,0.6031541,-0.7701255,-0.2076338,0,-2.758,-45.549,-77.739,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470912,1,OK,0.6048149,-0.7684849,-0.2088778,0,-1.671,-45.559,-77.981,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470920,1,OK,0.6056309,-0.7662908,-0.2144983,0,-0.507,-45.567,-78.12,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470928,1,OK,0.6059673,-0.7638222,-0.2222146,0,0.44,-45.619,-78.442,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470936,1,OK,0.6067956,-0.7622903,-0.2251946,0,1.211,-45.571,-78.623,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470944,1,OK,0.6067359,-0.7608061,-0.2303163,0,1.906,-45.599,-79.006,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470952,1,OK,0.6065228,-0.7598163,-0.2341137,0,2.52,-45.593,-79.336,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470960,1,OK,0.6067959,-0.7590067,-0.2360244,0,3.211,-45.583,-79.684,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470968,1,OK,0.6069533,-0.7581959,-0.2382157,0,4.03,-45.585,-80.13,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470976,1,OK,0.6076882,-0.7575485,-0.2384017,0,4.852,-45.553,-80.502,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470984,1,OK,0.6090911,-0.7562921,-0.2388104,0,5.749,-45.526,-80.966,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,470992,1,OK,0.6103866,-0.7544267,-0.2413889,0,6.691,-45.548,-81.422,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471000,1,OK,0.6119578,-0.7525418,-0.243287,0,7.56,-45.544,-81.759,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471008,1,OK,0.6140294,-0.7498976,-0.2462143,0,8.196,-45.548,-82.144,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471016,1,OK,0.616005,-0.7473149,-0.2491152,0,8.611,-45.55,-82.562,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471024,1,OK,0.6175749,-0.7456695,-0.2501562,0,8.974,-45.555,-82.943,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471032,1,OK,0.619254,-0.7445486,-0.249343,0,9.251,-45.562,-83.239,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471040,1,OK,0.6208146,-0.7440602,-0.2469081,0,9.499,-45.576,-83.588,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471048,1,OK,0.622784,-0.7440037,-0.2420715,0,9.698,-45.587,-83.927,0,0
