Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256424,1,OK,0.8531967,-0.3592984,-0.3781006,0.0000000,53.014,4.376,-150.684,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256432,1,OK,0.8531699,-0.3581175,-0.3792797,0.0000000,53.017,2.504,-150.831,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256440,1,OK,0.8531106,-0.3575187,-0.3799773,0.0000000,52.994,0.648,-150.732,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256448,1,OK,0.8527434,-0.3579257,-0.3804181,0.0000000,52.915,-1.034,-150.384,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256456,1,OK,0.8519569,-0.3587614,-0.3813918,0.0000000,52.919,-2.498,-149.510,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256464,1,OK,0.8509434,-0.3596686,-0.3827974,0.0000000,52.964,-3.734,-148.533,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256472,1,OK,0.8496766,-0.3613332,-0.3840415,0.0000000,52.980,-4.939,-147.332,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256480,1,OK,0.8482577,-0.3632513,-0.3853665,0.0000000,52.961,-5.953,-145.848,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256488,1,OK,0.8465575,-0.3653120,-0.3871530,0.0000000,52.991,-6.880,-144.179,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256496,1,OK,0.8449854,-0.3677011,-0.3883242,0.0000000,52.956,-7.676,-142.269,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256504,1,OK,0.8432798,-0.3705673,-0.3893058,0.0000000,52.965,-8.490,-140.201,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256512,1,OK,0.8412959,-0.3735144,-0.3907789,0.0000000,52.992,-9.276,-138.093,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256520,1,OK,0.8390615,-0.3769760,-0.3922561,0.0000000,52.993,-9.926,-136.043,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256528,1,OK,0.8373192,-0.3793152,-0.3937215,0.0000000,53.004,-10.442,-134.031,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256536,1,OK,0.8355730,-0.3814502,-0.3953651,0.0000000,52.999,-10.981,-131.972,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256544,1,OK,0.8338278,-0.3837334,-0.3968372,0.0000000,53.013,-11.334,-129.944,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256552,1,OK,0.8314845,-0.3867596,-0.3988114,0.0000000,52.994,-11.732,-127.796,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256560,1,OK,0.8294813,-0.3892556,-0.4005507,0.0000000,52.999,-11.923,-125.595,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256568,1,OK,0.8280329,-0.3911326,-0.4017173,0.0000000,53.020,-11.894,-123.407,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256576,1,OK,0.8261985,-0.3933997,-0.4032774,0.0000000,52.990,-11.848,-121.181,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256584,1,OK,0.8239143,-0.3958210,-0.4055749,0.0000000,53.045,-11.522,-119.014,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256592,1,OK,0.8218279,-0.3984795,-0.4072015,0.0000000,53.034,-10.993,-116.716,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256600,1,OK,0.8198854,-0.4007766,-0.4088595,0.0000000,53.028,-10.419,-114.635,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256608,1,OK,0.8180457,-0.4031795,-0.4101800,0.0000000,53.030,-9.879,-112.618,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256616,1,OK,0.8165686,-0.4043902,-0.4119275,0.0000000,53.052,-9.256,-110.832,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256624,1,OK,0.8153723,-0.4044889,-0.4141940,0.0000000,53.079,-8.488,-109.253,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256632,1,OK,0.8138461,-0.4054093,-0.4162907,0.0000000,53.089,-7.637,-107.747,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256640,1,OK,0.8123309,-0.4067767,-0.4179129,0.0000000,53.102,-6.700,-106.237,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256648,1,OK,0.8112177,-0.4076149,-0.4192564,0.0000000,53.102,-5.695,-104.707,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256656,1,OK,0.8100553,-0.4084218,-0.4207162,0.0000000,53.126,-4.695,-103.277,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256664,1,OK,0.8093862,-0.4090261,-0.4214161,0.0000000,53.129,-3.507,-101.799,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256672,1,OK,0.8083817,-0.4099675,-0.4224283,0.0000000,53.141,-2.376,-100.444,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256680,1,OK,0.8072816,-0.4107310,-0.4237883,0.0000000,53.143,-1.142,-99.187,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256688,1,OK,0.8063988,-0.4117701,-0.4244601,0.0000000,53.182,0.379,-97.938,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256696,1,OK,0.8050974,-0.4138838,-0.4248745,0.0000000,53.186,1.915,-96.780,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256704,1,OK,0.8039494,-0.4150483,-0.4259110,0.0000000,53.203,3.396,-95.735,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256712,1,OK,0.8030578,-0.4156643,-0.4269910,0.0000000,53.222,4.884,-94.722,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256720,1,OK,0.8023642,-0.4162730,-0.4277014,0.0000000,53.247,6.494,-93.635,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256728,1,OK,0.8013165,-0.4174485,-0.4285191,0.0000000,53.262,8.113,-92.625,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256736,1,OK,0.8005806,-0.4183285,-0.4290361,0.0000000,53.283,9.895,-91.636,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256744,1,OK,0.7998479,-0.4192291,-0.4295234,0.0000000,53.299,11.599,-90.839,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256752,1,OK,0.7992586,-0.4194754,-0.4303790,0.0000000,53.342,13.327,-90.230,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256760,1,OK,0.7990385,-0.4195175,-0.4307465,0.0000000,53.367,15.122,-89.699,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256768,1,OK,0.7990283,-0.4196549,-0.4306316,0.0000000,53.387,17.108,-89.197,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256776,1,OK,0.7988385,-0.4199919,-0.4306552,0.0000000,53.420,19.165,-88.976,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256784,1,OK,0.7991846,-0.4194481,-0.4305430,0.0000000,53.464,21.329,-88.802,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256792,1,OK,0.7996047,-0.4193794,-0.4298294,0.0000000,53.507,23.617,-88.776,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256800,1,OK,0.7999346,-0.4191087,-0.4294795,0.0000000,53.556,25.901,-88.898,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,256808,1,OK,0.8002795,-0.4181753,-0.4297466,0.0000000,53.605,28.116,-89.276,0.0000000,0
