Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319104,1,OK,0.6845207,-0.7061920,-0.1808986,0.0000000,-19.432,-47.756,-96.329,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319112,1,OK,0.6838436,-0.7068883,-0.1807397,0.0000000,-19.325,-47.722,-96.027,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319120,1,OK,0.6831918,-0.7068676,-0.1832678,0.0000000,-19.285,-47.742,-95.988,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319128,1,OK,0.6828437,-0.7064058,-0.1863204,0.0000000,-19.163,-47.762,-95.763,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319136,1,OK,0.6821461,-0.7069781,-0.1867048,0.0000000,-19.099,-47.784,-95.573,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319144,1,OK,0.6806757,-0.7090905,-0.1840413,0.0000000,-19.115,-47.787,-95.529,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319152,1,OK,0.6791105,-0.7116889,-0.1797439,0.0000000,-19.118,-47.779,-95.289,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319160,1,OK,0.6776705,-0.7138095,-0.1767447,0.0000000,-19.166,-47.786,-95.192,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319168,1,OK,0.6768393,-0.7154880,-0.1731055,0.0000000,-19.207,-47.771,-95.033,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319176,1,OK,0.6767690,-0.7157435,-0.1723221,0.0000000,-19.164,-47.764,-94.858,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319184,1,OK,0.6766952,-0.7154564,-0.1737980,0.0000000,-19.079,-47.781,-94.748,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319192,1,OK,0.6762343,-0.7159214,-0.1736771,0.0000000,-18.998,-47.779,-94.646,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319200,1,OK,0.6757406,-0.7163665,-0.1737635,0.0000000,-18.904,-47.779,-94.580,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319208,1,OK,0.6754125,-0.7167358,-0.1735160,0.0000000,-18.765,-47.765,-94.459,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319216,1,OK,0.6749435,-0.7174971,-0.1721893,0.0000000,-18.625,-47.764,-94.302,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319224,1,OK,0.6741043,-0.7185127,-0.1712393,0.0000000,-18.476,-47.778,-94.209,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319232,1,OK,0.6731608,-0.7195721,-0.1705011,0.0000000,-18.305,-47.814,-94.086,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319240,1,OK,0.6721749,-0.7210548,-0.1681099,0.0000000,-18.123,-47.798,-93.944,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319248,1,OK,0.6709651,-0.7225824,-0.1663746,0.0000000,-18.020,-47.825,-93.816,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319256,1,OK,0.6699710,-0.7238096,-0.1650410,0.0000000,-17.990,-47.810,-93.712,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319264,1,OK,0.6693287,-0.7242631,-0.1656565,0.0000000,-17.866,-47.821,-93.581,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319272,1,OK,0.6687926,-0.7243475,-0.1674432,0.0000000,-17.549,-47.853,-93.407,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319280,1,OK,0.6681601,-0.7249521,-0.1673515,0.0000000,-16.998,-47.852,-93.141,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319288,1,OK,0.6670350,-0.7260450,-0.1671016,0.0000000,-16.452,-47.886,-93.003,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319296,1,OK,0.6655309,-0.7279392,-0.1648431,0.0000000,-16.049,-47.921,-92.909,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319304,1,OK,0.6639695,-0.7300919,-0.1615870,0.0000000,-15.759,-47.933,-92.832,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319312,1,OK,0.6626663,-0.7313307,-0.1613345,0.0000000,-15.449,-47.961,-92.753,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319320,1,OK,0.6618326,-0.7320262,-0.1616023,0.0000000,-15.116,-47.977,-92.613,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319328,1,OK,0.6614285,-0.7320168,-0.1632906,0.0000000,-14.645,-48.004,-92.530,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319336,1,OK,0.6613865,-0.7315884,-0.1653669,0.0000000,-14.020,-48.054,-92.467,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319344,1,OK,0.6612774,-0.7316032,-0.1657374,0.0000000,-13.274,-48.047,-92.460,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319352,1,OK,0.6605394,-0.7317655,-0.1679492,0.0000000,-12.652,-48.089,-92.439,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319360,1,OK,0.6596523,-0.7321340,-0.1698193,0.0000000,-12.232,-48.118,-92.219,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319368,1,OK,0.6590707,-0.7320090,-0.1725939,0.0000000,-11.875,-48.126,-91.836,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319376,1,OK,0.6586308,-0.7317566,-0.1753219,0.0000000,-11.560,-48.138,-91.466,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319384,1,OK,0.6585179,-0.7316312,-0.1762667,0.0000000,-11.341,-48.123,-91.157,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319392,1,OK,0.6582946,-0.7312265,-0.1787626,0.0000000,-11.059,-48.156,-90.969,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319400,1,OK,0.6579018,-0.7312472,-0.1801186,0.0000000,-10.667,-48.181,-90.788,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319408,1,OK,0.6572557,-0.7319451,-0.1796422,0.0000000,-10.172,-48.196,-90.648,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319416,1,OK,0.6565279,-0.7326273,-0.1795229,0.0000000,-9.589,-48.205,-90.651,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319424,1,OK,0.6559289,-0.7330422,-0.1800178,0.0000000,-8.852,-48.230,-90.688,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319432,1,OK,0.6555958,-0.7331480,-0.1807986,0.0000000,-8.024,-48.247,-90.784,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319440,1,OK,0.6554858,-0.7329211,-0.1821126,0.0000000,-7.235,-48.259,-90.941,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319448,1,OK,0.6558001,-0.7319387,-0.1849107,0.0000000,-6.515,-48.256,-91.110,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319456,1,OK,0.6561952,-0.7307649,-0.1881235,0.0000000,-5.920,-48.276,-91.188,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319464,1,OK,0.6566624,-0.7297379,-0.1904655,0.0000000,-5.476,-48.270,-91.324,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319472,1,OK,0.6572494,-0.7287345,-0.1922738,0.0000000,-4.949,-48.288,-91.330,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319480,1,OK,0.6578231,-0.7280261,-0.1929941,0.0000000,-4.302,-48.288,-91.525,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319488,1,OK,0.6582661,-0.7275156,-0.1934086,0.0000000,-3.592,-48.319,-91.814,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319496,1,OK,0.6587611,-0.7268955,-0.1940536,0.0000000,-2.904,-48.324,-92.154,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319504,1,OK,0.6595580,-0.7255641,-0.1963162,0.0000000,-2.127,-48.371,-92.323,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319512,1,OK,0.6608545,-0.7239632,-0.1978600,0.0000000,-1.282,-48.355,-92.494,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319520,1,OK,0.6618299,-0.7225891,-0.1996150,0.0000000,-0.301,-48.379,-92.940,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319528,1,OK,0.6629898,-0.7212855,-0.2004788,0.0000000,0.792,-48.399,-93.342,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319536,1,OK,0.6643403,-0.7196293,-0.2019543,0.0000000,2.016,-48.409,-93.862,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319544,1,OK,0.6656694,-0.7179403,-0.2035827,0.0000000,3.240,-48.424,-94.385,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319552,1,OK,0.6668723,-0.7163092,-0.2053835,0.0000000,4.438,-48.495,-94.999,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319560,1,OK,0.6683552,-0.7145563,-0.2066655,0.0000000,5.711,-48.502,-95.584,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319568,1,OK,0.6700541,-0.7122178,-0.2092208,0.0000000,7.032,-48.537,-96.011,0.0000000,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,319576,1,OK,0.6718728,-0.7100813,-0.2106455,0.0000000,8.364,-48.531,-96.527,0.0000000,0
